_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
66d002a94b36e87ec5e6952c,,57.56,92.25,57.56,63.91,130;0;0;0,words,25,-1,4,27.1,0,32.44,false,false,english,none,normal,false,false,false,,1724908201000
66d0026a4b36e87ec5e692d6,,39.97,80.65,39.97,57.72,146;0;0;0,words,25,-1,3,43.83,0,19.62,false,false,english,none,normal,false,false,false,,1724908138000
66d002244b36e87ec5e69056,,56.86,92.2,56.86,67.43,126;0;0;0,words,25,-1,0,26.59,0,0,false,false,english,none,normal,false,false,false,,1724908068000
66d002084b36e87ec5e68f36,,48.47,89.81,48.47,58.84,136;0;0;0,words,25,-1,3,33.67,0,9.22,false,false,english,none,normal,false,false,false,,1724908040000
66d001d94b36e87ec5e68d46,,42.65,81.82,42.65,55.88,131;0;0;0,words,25,-1,1,36.86,0,8.34,false,false,english,none,normal,false,false,false,,1724907993000
66d001a64b36e87ec5e68b51,,57.02,95.35,57.02,60.7,119;0;0;0,words,25,-1,6,25.05,0,97.86,false,false,english,none,normal,false,false,false,,1724907942000
66d001234b36e87ec5e68657,,47.3,84.28,47.3,59.28,131;0;0;0,words,25,-1,3,33.24,0,28.22,false,false,english,none,normal,false,false,false,,1724907811000
66d000e24b36e87ec5e68403,,63.08,94.12,63.08,68.34,128;0;0;0,words,25,-1,0,24.35,0,0,false,false,english,none,normal,false,false,false,,1724907745000
66d000c84b36e87ec5e68346,,52.9,87.42,52.9,55.7,139;0;0;0,words,25,-1,1,31.53,0,1.96,false,false,english,none,normal,false,false,false,,1724907720000
66d000a54b36e87ec5e68203,,41.72,84.74,41.72,57.49,152;0;0;0,words,25,-1,2,43.72,0,3.3,false,false,english,none,normal,false,false,false,,1724907685000
66d000724b36e87ec5e6802e,,47.96,84.97,47.96,59.74,126;0;0;0,words,25,-1,0,31.53,0,0,false,false,english,none,normal,false,false,false,,1724907634000
66d000514b36e87ec5e67f0e,,59.49,91.3,59.49,61.99,145;0;0;0,words,25,-1,0,29.25,0,0,false,false,english,none,normal,false,false,false,,1724907601000
66d000324b36e87ec5e67dd1,,47.67,84.85,47.67,52.89,136;0;0;0,words,25,-1,0,34.23,0,0,false,false,english,none,normal,false,false,false,,1724907570000
66d0000f4b36e87ec5e67c8c,,47.22,86.99,47.22,59.01,125;0;0;0,words,25,-1,0,31.77,0,0,false,false,english,none,normal,false,false,false,,1724907535000
66cfffef4b36e87ec5e67b5d,,47.38,87.82,47.38,62.26,133;0;0;0,words,25,-1,0,33.69,0,0,false,false,english,none,normal,false,false,false,,1724907503000
66cfffcb4b36e87ec5e679f8,,44.1,86.81,44.1,53.45,124;0;0;0,words,25,-1,1,33.74,0,0.84,false,false,english,none,normal,false,false,false,,1724907467000
66cfffa44b36e87ec5e67888,,43.85,82.5,43.85,61.25,129;0;0;0,words,25,-1,1,35.3,0,1.22,false,false,english,none,normal,false,false,false,,1724907428000
66cfff7e4b36e87ec5e6771a,,49.37,86.27,49.37,50.62,127;0;0;0,words,25,-1,3,30.87,0,10.93,false,false,english,none,normal,false,false,false,,1724907390000
